full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,price_per_km,log_resale_price
2017 Maruti Baleno 1.2 Alpha,5.45,2017,1197,Third Party insurance,Manual,40000,First Owner,Petrol,83.1,5,21.4,Hatchback,Agra,0.00013625,1.864080131
2018 Tata Hexa XTA,10,2018,2179,Third Party insurance,Automatic,70000,First Owner,Diesel,153.86,7,17.6,MUV,Agra,0.000142857,2.397895273
2015 Maruti Swift Dzire VXI,4.5,2015,1197,Third Party insurance,Manual,70000,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,6.43E-05,1.704748092
2015 Maruti Swift Dzire VXI,4.5,2015,1197,Third Party insurance,Manual,70000,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,6.43E-05,1.704748092
2009 Hyundai i10 Magna 1.1,1.6,2009,1086,Third Party insurance,Manual,80000,First Owner,Petrol,68.05,5,19.81,Hatchback,Agra,2.00E-05,0.955511445
2015 Hyundai i20 Active 1.2,4.7,2015,1197,Third Party insurance,Manual,70000,First Owner,Petrol,81.86,5,17.19,Hatchback,Agra,6.71E-05,1.740466175
2017 Tata Tiago 1.05 Revotorq XZ,3.6,2017,1047,Third Party insurance,Manual,120000,First Owner,Diesel,69,5,27.28,Hatchback,Agra,3.00E-05,1.526056303
2010 Hyundai i10 Magna 1.1,2,2010,1086,Third Party insurance,Manual,60000,Second Owner,Petrol,68.05,5,19.81,Hatchback,Agra,3.33E-05,1.098612289
2016 Maruti Eeco 7 Seater Standard BSIV,3.7,2016,1196,Third Party insurance,Manual,20000,First Owner,Petrol,73,7,15.37,Minivans,Agra,0.000185,1.547562509
2009 Hyundai Santro Xing GL,1.2,2009,1086,Third Party insurance,Manual,30000,First Owner,Petrol,62,5,,Hatchback,Agra,4.00E-05,0.78845736
2014 Honda Amaze E i-Vtech,3.3,2014,1198,Third Party insurance,Manual,70000,First Owner,Petrol,86.7,5,18,Sedan,Agra,4.71E-05,1.458615023
2018 Hyundai Xcent 1.2 VTVT SX,4.75,2018,1197,Third Party insurance,Manual,60000,Second Owner,Petrol,81.86,5,20.14,Sedan,Agra,7.92E-05,1.749199855
2020 Maruti Ciaz Sigma BSIV,6.86,2020,1462,Third Party insurance,Manual,50000,Third Owner,Petrol,103.25,5,21.56,Sedan,Agra,0.0001372,2.061786606
2021 Hyundai Venue SX Opt Executive Diesel,12.5,2021,1493,Third Party insurance,Manual,60000,First Owner,Diesel,98.6,5,23.7,SUV,Agra,0.000208333,2.602689685
2021 Hyundai Venue SX Dual Tone Diesel BSIV,11,2021,1396,Third Party insurance,Manual,60000,First Owner,Diesel,89,5,23.7,SUV,Agra,0.000183333,2.48490665
2019 Maruti Alto K10 VXI AGS Optional,3.95,2019,998,Third Party insurance,Automatic,20000,First Owner,Petrol,67.1,5,23.95,Hatchback,Agra,0.0001975,1.599387577
2016 Maruti Wagon R LXI CNG,3.5,2016,998,Third Party insurance,Manual,40000,First Owner,CNG,58.16,5,26.6,Hatchback,Agra,8.75E-05,1.504077397
2011 Toyota Etios VX,2.89,2011,1496,Third Party insurance,Manual,50000,Second Owner,Petrol,88.7,5,17.6,Sedan,Agra,5.78E-05,1.358409158
2011 Toyota Corolla Altis Diesel D4DGL,2.82,2011,1364,Third Party insurance,Manual,150000,First Owner,Diesel,87.2,5,21.43,Sedan,Agra,1.88E-05,1.340250423
2021 Kia Sonet HTX Plus Turbo iMT BSVI,10,2021,998,Third Party insurance,Manual,10000,First Owner,Petrol,118.36,5,18.2,SUV,Agra,0.001,2.397895273
2020 Maruti Ciaz Alpha BSVI,7.85,2020,1462,Third Party insurance,Manual,30000,Second Owner,Petrol,103.25,5,20.65,Sedan,Agra,0.000261667,2.180417459
2014 Ford Ecosport 1.5 DV5 MT Ambiente,3,2014,1498,Third Party insurance,Manual,150000,Third Owner,Diesel,89.84,5,22.7,SUV,Agra,2.00E-05,1.386294361
2011 Mitsubishi Outlander 2.4,3.97,2011,2360,Third Party insurance,Automatic,80000,Second Owner,Petrol,170,5,11.3,SUV,Agra,4.96E-05,1.60341984
2015 Maruti Swift Dzire VDI,3.75,2015,1248,Third Party insurance,Manual,20000,First Owner,Diesel,74,5,26.59,Sedan,Agra,0.0001875,1.558144618
2011 Maruti Alto K10 LXI,1,2011,998,Third Party insurance,Manual,120000,Third Owner,Petrol,67.1,5,20.92,Hatchback,Agra,8.33E-06,0.693147181
2011 Mitsubishi Outlander 2.4,3.97,2011,2360,Third Party insurance,Automatic,80000,Second Owner,Petrol,170,5,11.3,SUV,Agra,4.96E-05,1.60341984
2021 Maruti Baleno Zeta,6.75,2021,1197,Third Party insurance,Manual,40000,First Owner,Petrol,81.8,5,21.01,Hatchback,Agra,0.00016875,2.047692843
2018 Hyundai Xcent 1.2 VTVT SX,4.65,2018,1197,Third Party insurance,Manual,60000,Second Owner,Petrol,81.86,5,20.14,Sedan,Agra,7.75E-05,1.731655545
2015 Maruti Swift Dzire VXI,4.8,2015,1197,Third Party insurance,Manual,80000,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,6.00E-05,1.757857918
2014 Maruti Alto 800 LXI,2.25,2014,796,Third Party insurance,Manual,100000,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,2.25E-05,1.178654996
2016 Maruti Wagon R VXI Optional,3.2,2016,998,Third Party insurance,Manual,70000,Second Owner,Petrol,67.04,5,20.51,Hatchback,Agra,4.57E-05,1.435084525
2015 Hyundai Grand i10 Sportz,4.15,2015,1197,Third Party insurance,Manual,30000,First Owner,Petrol,82,5,18.9,Hatchback,Agra,0.000138333,1.638996715
2012 Maruti Swift VDI,2.4,2012,1248,Third Party insurance,Manual,120000,Third Owner,Diesel,74,5,22.9,Hatchback,Agra,2.00E-05,1.223775432
2013 Mahindra XUV500 W6 2WD,3.5,2013,2179,Third Party insurance,Manual,100000,Third Owner,Diesel,140,7,15.1,SUV,Agra,3.50E-05,1.504077397
2013 Mahindra XUV500 W6 2WD,3.5,2013,2179,Third Party insurance,Manual,100000,Third Owner,Diesel,140,7,15.1,SUV,Agra,3.50E-05,1.504077397
2013 Tata New Safari DICOR 2.2 EX 4x2,2.96,2013,2179,Third Party insurance,Manual,90000,Second Owner,Diesel,138.1,7,11.57,SUV,Agra,3.29E-05,1.376244025
2013 Tata New Safari DICOR 2.2 EX 4x2,2.96,2013,2179,Third Party insurance,Manual,90000,Second Owner,Diesel,138.1,7,11.57,SUV,Agra,3.29E-05,1.376244025
2018 Tata Tiago 1.2 Revotron XE,3.16,2018,1199,Third Party insurance,Manual,100000,First Owner,Petrol,84,5,23.84,Hatchback,Agra,3.16E-05,1.425515074
2017 Maruti Vitara Brezza ZDi Plus Dual Tone,7.5,2017,1248,Third Party insurance,Manual,100000,Second Owner,Diesel,88.5,5,24.3,SUV,Agra,7.50E-05,2.140066163
2019 Maruti Ertiga VDI,9,2019,1248,Third Party insurance,Manual,120000,First Owner,Diesel,88.5,7,25.47,MUV,Agra,7.50E-05,2.302585093
2022 Maruti Celerio VXI BSVI,5.6,2022,998,Third Party insurance,Manual,10000,First Owner,Petrol,65.71,5,25.24,Hatchback,Agra,0.00056,1.887069649
2017 Maruti Vitara Brezza ZDi Plus,8,2017,1248,Third Party insurance,Manual,150000,First Owner,Diesel,88.5,5,24.3,SUV,Agra,5.33E-05,2.197224577
2017 Hyundai Creta 1.4 E Plus,9,2017,1396,Third Party insurance,Manual,120000,Second Owner,Diesel,88.7,5,22.1,SUV,Agra,7.50E-05,2.302585093
2019 Maruti Alto 800 LXI,2.8,2019,796,Third Party insurance,Manual,80000,First Owner,Petrol,47.33,5,22.05,Hatchback,Agra,3.50E-05,1.335001067
2013 Toyota Innova 2.5 E Diesel MS 7-seater,5.5,2013,2494,Third Party insurance,Manual,90000,Second Owner,Diesel,100.6,7,11.4,Toyota,Agra,6.11E-05,1.871802177
2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,2.5,2009,2494,Third Party insurance,Manual,150000,First Owner,Diesel,102,8,12.8,MUV,Agra,1.67E-05,1.252762968
2011 Tata Manza Aqua Quadrajet,1.5,2011,1248,Third Party insurance,Manual,150000,First Owner,Diesel,90,5,18.8,Sedan,Agra,1.00E-05,0.916290732
2011 Tata Manza Aqua Quadrajet,1.5,2011,1248,Third Party insurance,Manual,150000,First Owner,Diesel,90,5,18.8,Sedan,Agra,1.00E-05,0.916290732
2017 Hyundai Grand i10 1.2 CRDi Sportz Option,4.8,2017,1186,Third Party insurance,Manual,20000,First Owner,Diesel,73.97,5,24,Hatchback,Agra,0.00024,1.757857918
2017 Maruti Eeco CNG 5 Seater AC BSIV,3,2017,1196,Third Party insurance,Manual,150000,First Owner,CNG,61.7,5,21.94,Minivans,Agra,2.00E-05,1.386294361
2017 Maruti Eeco CNG 5 Seater AC BSIV,3,2017,1196,Third Party insurance,Manual,150000,First Owner,CNG,61.7,5,21.94,Minivans,Agra,2.00E-05,1.386294361
2017 Maruti Eeco CNG 5 Seater AC BSIV,3,2017,1196,Third Party insurance,Manual,150000,First Owner,CNG,61.7,5,21.94,Minivans,Agra,2.00E-05,1.386294361
